Zone_ID,Longitude,Latitude,Roads
P65,118.69916,31.01242,"[30037, 30039, 30161, 30160, 30037, 30039, 30161, 30160]"
P103,118.66487,30.93962,"[30112, 30102, 30099, 30096, 30101, 30099, 30096, 30101, 30112, 30102]"
P141,118.71013,30.92721,"[21201, 21234, 21200, 21239, 21239, 21201, 21234, 21200]"
P58,118.82496,30.9686,"[21280, 21274, 21274, 21280]"
P181,118.72155,30.93852,"[21197, 21223, 21192, 21219, 21197, 21223, 21192, 21219]"
P107,118.72328,30.94037,"[1220, 8009, 21219, 15207, 1220, 8009, 21219, 15207]"
P547,118.87566,30.97103,"[21284, 21284]"
P159,118.76193,30.936,"[1040, 1043, 1044, 1131, 1045, 1040, 1043, 1044, 1131, 1045]"
P180,118.69799,30.94511,"[21166, 21179, 21162, 21175, 21166, 21179, 21162, 21175]"
P367,118.78945,30.8985,"[30069, 30025, 30069, 30025]"
P49,118.77409,30.9767,"[21271, 21270, 15885, 1206, 21271, 21270, 15885, 1206]"
P25,118.71334,31.03442,"[30078, 30077, 30012, 30079, 30080, 30078, 30077, 30012, 30079, 30080]"
P138,118.73366,30.92801,"[21212, 21214, 21231, 21208, 21226, 21212, 21214, 21231, 21208, 21226]"
P453,118.82231,30.95508,"[21276, 21252, 21252, 21276]"
P151,118.77159,30.94098,"[1030, 1032, 1031, 1028, 1038, 1032, 1031, 1028, 1038, 1030]"
P116,118.71934,30.94452,"[15217, 21217, 21184, 1221, 15217, 21217, 21184, 1221]"
P41,118.79897,30.97164,"[21273, 21272, 21257, 21256, 21255, 21270, 21271, 21273, 21270, 21271, 21272, 21257, 21256, 21255]"
P118,118.7437,30.94622,"[1008, 1013, 1036, 8001, 1024, 1003, 1008, 1013, 1036, 8001, 1024, 1003]"
P203,118.64979,31.01338,"[30034, 30034]"
P147,118.7479,30.9267,"[1130, 15363, 21243, 21242, 21214, 15342, 21242, 21214, 15342, 1130, 15363, 21243]"
P45,118.79287,30.9408,"[21136, 1124, 15809, 21264, 21136, 1124, 15809, 21264]"
P541,118.77081,30.92333,"[21291, 21291]"
P175,118.75005,30.9416,"[1016, 1011, 1014, 8005, 1016, 1011, 1014, 8005]"
P145,118.72465,30.92602,"[21139, 21230, 21209, 21236, 21205, 21139, 21230, 21209, 21236, 21205]"
P173,118.75326,30.94505,"[1010, 1012, 1009, 1007, 1010, 1012, 1009, 1007]"
P117,118.74508,30.96582,"[1232, 1065, 30200, 30201, 1232, 1065, 30200, 30201]"
P97,118.73599,30.9509,"[8001, 8002, 8003, 30187, 30188, 1223, 1224, 8001, 8002, 8003, 30187, 30188, 1223, 1224]"
P47,118.81579,30.90896,"[30089, 30070, 30021, 30022, 30064, 30087, 30089, 30089, 30070, 30021, 30022, 30064, 30087, 30089]"
P123,118.73525,30.94529,"[8002, 1026, 1056, 8002, 1026, 1056]"
P126,118.69404,30.94374,"[21182, 21163, 21179, 21167, 21182, 21163, 21179, 21167]"
P136,118.71532,30.93945,"[21222, 21193, 21227, 21186, 21221, 21222, 21193, 21227, 21186, 21221]"
P189,118.66115,30.95454,"[30115, 30144, 30142, 30133, 30144, 30142, 30133, 30115]"
P93,118.78266,30.94617,"[1213, 1113, 1209, 1126, 1213, 1113, 1209, 1126]"
P16,118.64519,30.95252,"[30151, 30148, 30125, 30151, 30148, 30125]"
P549,118.77655,30.99917,"[21285, 21285]"
P11,118.7362,30.91808,"[30180, 30176, 21216, 21215, 21242, 30033, 30180, 30176, 21216, 21215, 21242, 30033]"
